메뉴 이름,방법 분류,국가 분류,테마 분류,주재료 이름,features
배깨초무침,나물 생채 샐러드,퓨전,반찬,배 1/2개 오이 1/2개,배깨초무침 나물 생채 샐러드 퓨전 반찬 배 1/2개 오이 1/2개
부추올리브오일무침,나물 생채 샐러드,퓨전,반찬,부추 100g 올리브오일 3큰술,부추올리브오일무침 나물 생채 샐러드 퓨전 반찬 부추 100g 올리브오일 3큰술
수삼치즈샐러드,나물 생채 샐러드,퓨전,반찬,수삼 1뿌리 크림치즈 3큰술,수삼치즈샐러드 나물 생채 샐러드 퓨전 반찬 수삼 1뿌리 크림치즈 3큰술
어묵샐러드,나물 생채 샐러드,퓨전,반찬,어묵 100g,어묵샐러드 나물 생채 샐러드 퓨전 반찬 어묵 100g
연어채소채말이,나물 생채 샐러드,퓨전,메인요리,연어(훈제한것) 100g,연어채소채말이 나물 생채 샐러드 퓨전 메인요리 연어(훈제한것) 100g
와사비문어숙회,나물 생채 샐러드,퓨전,메인요리,와사비 1작은술 문어다리 4개,와사비문어숙회 나물 생채 샐러드 퓨전 메인요리 와사비 1작은술 문어다리 4개
와사비연어샐러드,나물 생채 샐러드,퓨전,메인요리,건포도 40g 훈제연어 70g 양상추 30g,와사비연어샐러드 나물 생채 샐러드 퓨전 메인요리 건포도 40g 훈제연어 70g 양상추 30g
와사비크림치즈와채소스틱,나물 생채 샐러드,퓨전,메인요리,당근 1/2개 오이 1/2개,와사비크림치즈와채소스틱 나물 생채 샐러드 퓨전 메인요리 당근 1/2개 오이 1/2개
참치샐러드,나물 생채 샐러드,퓨전,메인요리,참치살(냉동) 100g,참치샐러드 나물 생채 샐러드 퓨전 메인요리 참치살(냉동) 100g
참치샐러리스틱,나물 생채 샐러드,퓨전,메인요리,샐러리 4줄기 참치통조림 1/2캔,참치샐러리스틱 나물 생채 샐러드 퓨전 메인요리 샐러리 4줄기 참치통조림 1/2캔
참치회무침,나물 생채 샐러드,퓨전,메인요리,참치회 300g,참치회무침 나물 생채 샐러드 퓨전 메인요리 참치회 300g
참치회무침,나물 생채 샐러드,퓨전,메인요리,참치회 300g,참치회무침 나물 생채 샐러드 퓨전 메인요리 참치회 300g
춘권피건강샐러드,나물 생채 샐러드,퓨전,메인요리,춘권피 4장 각종 채소류 적당량,춘권피건강샐러드 나물 생채 샐러드 퓨전 메인요리 춘권피 4장 각종 채소류 적당량
치즈파강회,나물 생채 샐러드,퓨전,메인요리,실파 50g 하이포크팜햄 20g,치즈파강회 나물 생채 샐러드 퓨전 메인요리 실파 50g 하이포크팜햄 20g
치킨밀쌈,나물 생채 샐러드,퓨전,메인요리,닭가슴살 300g 라이스페이퍼 8장,치킨밀쌈 나물 생채 샐러드 퓨전 메인요리 닭가슴살 300g 라이스페이퍼 8장
피스타치오샐러드,나물 생채 샐러드,퓨전,메인요리,샐러리 50g 피스타치오 50g,피스타치오샐러드 나물 생채 샐러드 퓨전 메인요리 샐러리 50g 피스타치오 50g
고구마전피자,도시락 간식,퓨전,메인요리,고구마 2개,고구마전피자 도시락 간식 퓨전 메인요리 고구마 2개
두부카나페,도시락 간식,퓨전,메인요리,두부 200g 치즈 2장 방울토마토 3개,두부카나페 도시락 간식 퓨전 메인요리 두부 200g 치즈 2장 방울토마토 3개
레이즌카나페,도시락 간식,퓨전,메인요리,건포도 250g 브리치즈 1팩,레이즌카나페 도시락 간식 퓨전 메인요리 건포도 250g 브리치즈 1팩
마늘꿀마리네이드,도시락 간식,퓨전,메인요리,마늘 20톨,마늘꿀마리네이드 도시락 간식 퓨전 메인요리 마늘 20톨
베이컨떡말이조림,도시락 간식,퓨전,메인요리,떡볶이떡 1/2봉지 베이컨 1봉지,베이컨떡말이조림 도시락 간식 퓨전 메인요리 떡볶이떡 1/2봉지 베이컨 1봉지
자장떡볶이,도시락 간식,퓨전,메인요리,떡볶이떡 70g 어묵 50g 춘장 1/2큰술,자장떡볶이 도시락 간식 퓨전 메인요리 떡볶이떡 70g 어묵 50g 춘장 1/2큰술
치즈떡볶이,도시락 간식,퓨전,메인요리,가래떡 150g 슬라이스치즈 2장,치즈떡볶이 도시락 간식 퓨전 메인요리 가래떡 150g 슬라이스치즈 2장
과일 깍기,후식,퓨전,간식,오렌지 2개 멜론 1/4통 바나나 2개 기타 제철 과일,과일 깍기 후식 퓨전 간식 오렌지 2개 멜론 1/4통 바나나 2개 기타 제철 과일
두유빙수,후식,퓨전,간식,두유 300g 팥 70g 설탕 140g,두유빙수 후식 퓨전 간식 두유 300g 팥 70g 설탕 140g
양갱,후식,퓨전,간식,[검은양갱] 한천 15g 물 4와1/2컵 설탕 250g 팥앙금 900g [완두양갱] 한천 15g 물 1/2컵 설탕 250g 완두앙금 900g,양갱 후식 퓨전 간식 [검은양갱] 한천 15g 물 4와1/2컵 설탕 250g 팥앙금 900g [완두양갱] 한천 15g 물 1/2컵 설탕 250g 완두앙금 900g
초코밤범벅,후식,퓨전,간식,생밤 6알 초콜릿 40g,초코밤범벅 후식 퓨전 간식 생밤 6알 초콜릿 40g
치즈사탕,후식,퓨전,간식,치즈 적당량 잼 적당량,치즈사탕 후식 퓨전 간식 치즈 적당량 잼 적당량
콩국과일펀치,후식,퓨전,간식,콩국(메주콩500g 생수약간) 1컵,콩국과일펀치 후식 퓨전 간식 콩국(메주콩500g 생수약간) 1컵
콩국젤리,후식,퓨전,간식,콩국(메주콩100g 생수1/3컵) 1컵 통깨 약간 잣 약간,콩국젤리 후식 퓨전 간식 콩국(메주콩100g 생수1/3컵) 1컵 통깨 약간 잣 약간
당근쨈,양념장,퓨전,반찬,당근 2개,당근쨈 양념장 퓨전 반찬 당근 2개
유자드레싱,양념장,퓨전,반찬,유자청 1/2컵 올리브오일 1/2컵,유자드레싱 양념장 퓨전 반찬 유자청 1/2컵 올리브오일 1/2컵
과일찰떡카나페,떡 한과,퓨전,간식,시루떡(콩고물) 6조각 단호박 1/4개,과일찰떡카나페 떡 한과 퓨전 간식 시루떡(콩고물) 6조각 단호박 1/4개
깨찰빵,빵 과자,퓨전,간식,타피오카전분 540g 검은깨 1큰술 강력분 120g 계란 4개,깨찰빵 빵 과자 퓨전 간식 타피오카전분 540g 검은깨 1큰술 강력분 120g 계란 4개
누룽지케이크,빵 과자,퓨전,간식,밥 2공기,누룽지케이크 빵 과자 퓨전 간식 밥 2공기
삼색라이스케이크,빵 과자,퓨전,간식,밥 2공기,삼색라이스케이크 빵 과자 퓨전 간식 밥 2공기
팥앙금빵,빵 과자,퓨전,간식,밀가루(중력분) 600g 팥앙금 500g,팥앙금빵 빵 과자 퓨전 간식 밀가루(중력분) 600g 팥앙금 500g
감주스,음료,퓨전,간식,홍시 1개 우유 1컵,감주스 음료 퓨전 간식 홍시 1개 우유 1컵
귤주스,음료,퓨전,간식,귤 2개 우유 1컵 오렌지 주스 1/2컵,귤주스 음료 퓨전 간식 귤 2개 우유 1컵 오렌지 주스 1/2컵
딸기주스,음료,퓨전,간식,딸기 300g 오렌지주스 1/2컵 우유 1컵,딸기주스 음료 퓨전 간식 딸기 300g 오렌지주스 1/2컵 우유 1컵
바나나주스,음료,퓨전,간식,바나나 1개 파인애플통조림 2조각 우유 1컵,바나나주스 음료 퓨전 간식 바나나 1개 파인애플통조림 2조각 우유 1컵
배주스,음료,퓨전,간식,배 1/2개 우유 1컵 사과주스 1/2컵,배주스 음료 퓨전 간식 배 1/2개 우유 1컵 사과주스 1/2컵
사과주스,음료,퓨전,간식,사과 1/2개 무순 50g 당근 18g 우유 1/2컵,사과주스 음료 퓨전 간식 사과 1/2개 무순 50g 당근 18g 우유 1/2컵
생토마토주스,음료,퓨전,간식,토마토 2개,생토마토주스 음료 퓨전 간식 토마토 2개
요구르트두부주스,음료,퓨전,간식,메주콩 200g,요구르트두부주스 음료 퓨전 간식 메주콩 200g
자두주스,음료,퓨전,간식,자두 2개 우유 1컵,자두주스 음료 퓨전 간식 자두 2개 우유 1컵
과일천사채국수,만두 면류,퓨전,메인요리,배 1/2개 토마토 1개 천사채 300g,과일천사채국수 만두 면류 퓨전 메인요리 배 1/2개 토마토 1개 천사채 300g
김치 파스타,만두 면류,퓨전,메인요리,파스타 160g 김치 50g,김치 파스타 만두 면류 퓨전 메인요리 파스타 160g 김치 50g
냉라면,만두 면류,퓨전,메인요리,라면 2개 새우 8마리,냉라면 만두 면류 퓨전 메인요리 라면 2개 새우 8마리
명란스파게티,만두 면류,퓨전,메인요리,스파게티 300g 명란 120g,명란스파게티 만두 면류 퓨전 메인요리 스파게티 300g 명란 120g
불고기꽃만두,만두 면류,퓨전,메인요리,밀가루 1컵 쇠고기 200g,불고기꽃만두 만두 면류 퓨전 메인요리 밀가루 1컵 쇠고기 200g
비빔만두,만두 면류,퓨전,메인요리,냉동만두 10개 콩나물 30g,비빔만두 만두 면류 퓨전 메인요리 냉동만두 10개 콩나물 30g
소스를곁들인라면구이,만두 면류,퓨전,메인요리,라면 1개,소스를곁들인라면구이 만두 면류 퓨전 메인요리 라면 1개
치즈볶음라면,만두 면류,퓨전,메인요리,라면 1개 치즈(피자치즈) 적당량,치즈볶음라면 만두 면류 퓨전 메인요리 라면 1개 치즈(피자치즈) 적당량
콩국냉파스타,만두 면류,퓨전,메인요리,콩국 1컵 스파게티 200g 후춧가루 약간,콩국냉파스타 만두 면류 퓨전 메인요리 콩국 1컵 스파게티 200g 후춧가루 약간
퓨전만두,만두 면류,퓨전,메인요리,만두피 10장 쇠고기(불고기) 300g,퓨전만두 만두 면류 퓨전 메인요리 만두피 10장 쇠고기(불고기) 300g
커리,찌개 전골 스튜,퓨전,메인요리,감자 1개 당근 1/3개 양파 1/2개,커리 찌개 전골 스튜 퓨전 메인요리 감자 1개 당근 1/3개 양파 1/2개
김치오꼬노미야끼,부침,퓨전,메인요리,잔새우 5마리 갑오징어 20g 굴(생것) 20g 홍합 20g 돼지고기(삼겹살) 30g,김치오꼬노미야끼 부침 퓨전 메인요리 잔새우 5마리 갑오징어 20g 굴(생것) 20g 홍합 20g 돼지고기(삼겹살) 30g
돼지고기치즈지짐,부침,퓨전,메인요리,돼지고기(뒷다리살) 300g,돼지고기치즈지짐 부침 퓨전 메인요리 돼지고기(뒷다리살) 300g
두부스테이크,부침,퓨전,메인요리,다진쇠고기 90g 두부 1모,두부스테이크 부침 퓨전 메인요리 다진쇠고기 90g 두부 1모
산적치즈구이,부침,퓨전,메인요리,어묵 50g 햄 50g 게맛살 50g 치즈(슬라이스) 4장,산적치즈구이 부침 퓨전 메인요리 어묵 50g 햄 50g 게맛살 50g 치즈(슬라이스) 4장
연근카레전,부침,퓨전,메인요리,연근 20cm,연근카레전 부침 퓨전 메인요리 연근 20cm
치즈알쌈,부침,퓨전,메인요리,계란 8개 치즈(피자) 40g,치즈알쌈 부침 퓨전 메인요리 계란 8개 치즈(피자) 40g
치즈파전,부침,퓨전,메인요리,실파 100g 새우(칵테일) 10g 홍합살 10g 밀가루 1/4컵 치즈 적당량,치즈파전 부침 퓨전 메인요리 실파 100g 새우(칵테일) 10g 홍합살 10g 밀가루 1/4컵 치즈 적당량
치즈피망전,부침,퓨전,메인요리,피망 4개 모짜렐라치즈 적당량,치즈피망전 부침 퓨전 메인요리 피망 4개 모짜렐라치즈 적당량
꼬마버거,샌드위치 햄버거,퓨전,메인요리,돼지고기 20g 모닝빵 4개 샐러드 약간,꼬마버거 샌드위치 햄버거 퓨전 메인요리 돼지고기 20g 모닝빵 4개 샐러드 약간
밥샌드위치,샌드위치 햄버거,퓨전,메인요리,밥(찬것) 3공기,밥샌드위치 샌드위치 햄버거 퓨전 메인요리 밥(찬것) 3공기
새우라이스버거,샌드위치 햄버거,퓨전,메인요리,[라이스버거] 찬밥 2공기 계란노른자 1개 빵가루 20g 소금 약간 후춧가루 약간 [새우패티] 새우살 100g 양파 1/3개 샐러리 1대 빵가루 30g 소금 약간 후춧가루 약간,새우라이스버거 샌드위치 햄버거 퓨전 메인요리 [라이스버거] 찬밥 2공기 계란노른자 1개 빵가루 20g 소금 약간 후춧가루 약간 [새우패티] 새우살 100g 양파 1/3개 샐러리 1대 빵가루 30g 소금 약간 후춧가루 약간
감자피자구이,피자,퓨전,메인요리,감자 4개 오징어 1마리,감자피자구이 피자 퓨전 메인요리 감자 4개 오징어 1마리
김치계란피자,피자,퓨전,메인요리,김치 100g 계란 2개,김치계란피자 피자 퓨전 메인요리 김치 100g 계란 2개
김치치킨도리아,볶음,퓨전,메인요리,닭고기(살) 50g 밥 1공기,김치치킨도리아 볶음 퓨전 메인요리 닭고기(살) 50g 밥 1공기
대파 파프리카굴소스볶음,볶음,퓨전,메인요리,대파 2대 노란파프리카 1개 주황파프리카 1개,대파 파프리카굴소스볶음 볶음 퓨전 메인요리 대파 2대 노란파프리카 1개 주황파프리카 1개
돈육불고기,볶음,퓨전,메인요리,돼지고기(목살) 600g,돈육불고기 볶음 퓨전 메인요리 돼지고기(목살) 600g
두부케첩볶음,볶음,퓨전,메인요리,두부 1/4모 비엔나소시지 8개 표고버섯(마른 것) 1장,두부케첩볶음 볶음 퓨전 메인요리 두부 1/4모 비엔나소시지 8개 표고버섯(마른 것) 1장
삶은무해산물볶음,볶음,퓨전,메인요리,새우살 50g 조갯살 50g 오징어 50g 무 1개,삶은무해산물볶음 볶음 퓨전 메인요리 새우살 50g 조갯살 50g 오징어 50g 무 1개
엔다이브 위의 쇠고기볶음,볶음,퓨전,메인요리,쇠고기 50g 앤다이브 6잎,엔다이브 위의 쇠고기볶음 볶음 퓨전 메인요리 쇠고기 50g 앤다이브 6잎
피자떡볶이,볶음,퓨전,메인요리,햄 100g 떡볶이떡 150g,피자떡볶이 볶음 퓨전 메인요리 햄 100g 떡볶이떡 150g
해물채소볶음,볶음,퓨전,메인요리,새우 30g 바지락 50g 파프리카 1/2개 청경채 2개,해물채소볶음 볶음 퓨전 메인요리 새우 30g 바지락 50g 파프리카 1/2개 청경채 2개
햄마늘볶음,볶음,퓨전,메인요리,햄 50g 마늘 5톨,햄마늘볶음 볶음 퓨전 메인요리 햄 50g 마늘 5톨
계란말이주먹밥,밥 죽 스프,한식,메인요리,밥 2공기 계란 4개,계란말이주먹밥 밥 죽 스프 한식 메인요리 밥 2공기 계란 4개
골뱅이덮밥,밥 죽 스프,한식,메인요리,밥 4공기 골뱅이 200g,골뱅이덮밥 밥 죽 스프 한식 메인요리 밥 4공기 골뱅이 200g
굴무밥,밥 죽 스프,한식,메인요리,굴 100g 쌀 2컵 무 150g 물 약간 다시마(5cm x 5cm) 1장,굴무밥 밥 죽 스프 한식 메인요리 굴 100g 쌀 2컵 무 150g 물 약간 다시마(5cm x 5cm) 1장
김밥계란말이,밥 죽 스프,한식,메인요리,밥 2공기 햄 100g 김 6장,김밥계란말이 밥 죽 스프 한식 메인요리 밥 2공기 햄 100g 김 6장
김치쌈밥,밥 죽 스프,한식,메인요리,밥 2공기 김칫잎 6장,김치쌈밥 밥 죽 스프 한식 메인요리 밥 2공기 김칫잎 6장
김치주먹밥,밥 죽 스프,한식,메인요리,김치 1/2포기 밥 2공기 다진쇠고기(사태) 100g,김치주먹밥 밥 죽 스프 한식 메인요리 김치 1/2포기 밥 2공기 다진쇠고기(사태) 100g
김치채소쌈,밥 죽 스프,한식,반찬,김치잎 5장 깻잎 4장 양배추 4장 근대잎 4장 밥 2공기,김치채소쌈 밥 죽 스프 한식 반찬 김치잎 5장 깻잎 4장 양배추 4장 근대잎 4장 밥 2공기
나물비빔밥,밥 죽 스프,한식,메인요리,쌀 4컵 안심 200g 콩나물 20g 청포묵 1/2모 미나리 20g 숙주 20g 도라지 20g 고사리 20g 계란 1개,나물비빔밥 밥 죽 스프 한식 메인요리 쌀 4컵 안심 200g 콩나물 20g 청포묵 1/2모 미나리 20g 숙주 20g 도라지 20g 고사리 20g 계란 1개
닭고기콩나물덮밥,밥 죽 스프,한식,메인요리,닭 한마리 콩나물 300g 밥 4공기,닭고기콩나물덮밥 밥 죽 스프 한식 메인요리 닭 한마리 콩나물 300g 밥 4공기
대나무쌈밥,밥 죽 스프,한식,메인요리,닭 20g 찹쌀 30g 쌀 90g 대나무잎 4장,대나무쌈밥 밥 죽 스프 한식 메인요리 닭 20g 찹쌀 30g 쌀 90g 대나무잎 4장
모듬쌈밥,밥 죽 스프,한식,메인요리,케일 약간 치커리 약간 청경채 약간 겨자잎 약간 밥 2공기,모듬쌈밥 밥 죽 스프 한식 메인요리 케일 약간 치커리 약간 청경채 약간 겨자잎 약간 밥 2공기
별미밥,밥 죽 스프,한식,메인요리,쇠고기(우둔) 150g 콩나물 100g 밥 4공기,별미밥 밥 죽 스프 한식 메인요리 쇠고기(우둔) 150g 콩나물 100g 밥 4공기
북어국밥,밥 죽 스프,한식,메인요리,밥 3공기 북어 2마리,북어국밥 밥 죽 스프 한식 메인요리 밥 3공기 북어 2마리
삼색주먹밥,밥 죽 스프,한식,메인요리,밥 2공기,삼색주먹밥 밥 죽 스프 한식 메인요리 밥 2공기
상추겉절이비빔밥,밥 죽 스프,한식,메인요리,밥 4공기 상추 3잎,상추겉절이비빔밥 밥 죽 스프 한식 메인요리 밥 4공기 상추 3잎
열무비빔밥,밥 죽 스프,한식,메인요리,밥 한공기 열무김치 300g 쇠고기 150g,열무비빔밥 밥 죽 스프 한식 메인요리 밥 한공기 열무김치 300g 쇠고기 150g
영양돌솥밥,밥 죽 스프,한식,메인요리,멥쌀 2컵 찹쌀 1/2컵,영양돌솥밥 밥 죽 스프 한식 메인요리 멥쌀 2컵 찹쌀 1/2컵
영양채소밥,밥 죽 스프,한식,메인요리,쌀 1컵 밤 2개 고구마 1/3개 은행 6알 대추 4알,영양채소밥 밥 죽 스프 한식 메인요리 쌀 1컵 밤 2개 고구마 1/3개 은행 6알 대추 4알
오곡밥,밥 죽 스프,한식,메인요리,멥쌀 1컵 찹쌀 2컵,오곡밥 밥 죽 스프 한식 메인요리 멥쌀 1컵 찹쌀 2컵
오징어덮밥,밥 죽 스프,한식,메인요리,밥 2공기 오징어 1마리,오징어덮밥 밥 죽 스프 한식 메인요리 밥 2공기 오징어 1마리
자라죽,밥 죽 스프,한식,메인요리,흰쌀 200g 자라 1마리,자라죽 밥 죽 스프 한식 메인요리 흰쌀 200g 자라 1마리
잣죽,밥 죽 스프,한식,메인요리,불린쌀 1컵 잣 1/2컵,잣죽 밥 죽 스프 한식 메인요리 불린쌀 1컵 잣 1/2컵
찬밥맛탕,밥 죽 스프,한식,메인요리,찬밥 1공기 옥수수(통조림) 200g,찬밥맛탕 밥 죽 스프 한식 메인요리 찬밥 1공기 옥수수(통조림) 200g
찰밥,밥 죽 스프,한식,메인요리,찹쌀 2컵 팥 2/3컵,찰밥 밥 죽 스프 한식 메인요리 찹쌀 2컵 팥 2/3컵
충무김밥,밥 죽 스프,한식,간식,김 2장 오징어 1/2마리 무 30g 고춧가루 3큰술 밥 2공기,충무김밥 밥 죽 스프 한식 간식 김 2장 오징어 1/2마리 무 30g 고춧가루 3큰술 밥 2공기
콩나물버섯덮밥,밥 죽 스프,한식,메인요리,밥 2인분 콩나물 100g 쇠고기 50g 느타리버섯 50g,콩나물버섯덮밥 밥 죽 스프 한식 메인요리 밥 2인분 콩나물 100g 쇠고기 50g 느타리버섯 50g
콩나물비빔밥,밥 죽 스프,한식,메인요리,밥 60g 보리 10g 콩나물 40g 오이 20g 다진쇠고기 30g,콩나물비빔밥 밥 죽 스프 한식 메인요리 밥 60g 보리 10g 콩나물 40g 오이 20g 다진쇠고기 30g
해물볶음밥,밥 죽 스프,한식,메인요리,밥 1공기 오징어 1/4마리 새우 20g 라유(중국식 고춧기름) 약간 홍고추 1개,해물볶음밥 밥 죽 스프 한식 메인요리 밥 1공기 오징어 1/4마리 새우 20g 라유(중국식 고춧기름) 약간 홍고추 1개
해물볶음밥,밥 죽 스프,한식,메인요리,새우 30g 오징어 50g 바지락 30g 밥 2공기,해물볶음밥 밥 죽 스프 한식 메인요리 새우 30g 오징어 50g 바지락 30g 밥 2공기
호박죽,밥 죽 스프,한식,메인요리,청동호박 1/2개 찹쌀 2컵,호박죽 밥 죽 스프 한식 메인요리 청동호박 1/2개 찹쌀 2컵
흑미영양솥밥,밥 죽 스프,한식,메인요리,멥쌀 1컵 찹쌀 1/2컵 흑미 2큰술,흑미영양솥밥 밥 죽 스프 한식 메인요리 멥쌀 1컵 찹쌀 1/2컵 흑미 2큰술
흑임자죽,밥 죽 스프,한식,메인요리,쌀 1컵 흑임자 1/2컵,흑임자죽 밥 죽 스프 한식 메인요리 쌀 1컵 흑임자 1/2컵
개장국,국,한식,메인요리,개고기 800g 된장 2큰술 토란(줄기) 200g,개장국 국 한식 메인요리 개고기 800g 된장 2큰술 토란(줄기) 200g
곰탕,국,한식,메인요리,쇠고기(양지) 400g 양 600g 무 400g,곰탕 국 한식 메인요리 쇠고기(양지) 400g 양 600g 무 400g
냉면육수,국,한식,반찬,쇠고기(양지머리) 400g,냉면육수 국 한식 반찬 쇠고기(양지머리) 400g
대구지리,국,한식,메인요리,대구 1마리,대구지리 국 한식 메인요리 대구 1마리
대구탕,국,한식,메인요리,대구 1/2마리 무 30g 콩나물 25g 홍고추 1개 청고추 1개 미나리 20g,대구탕 국 한식 메인요리 대구 1/2마리 무 30g 콩나물 25g 홍고추 1개 청고추 1개 미나리 20g
맑은떡국,국,한식,메인요리,떡국떡 2컵,맑은떡국 국 한식 메인요리 떡국떡 2컵
미역국,국,한식,메인요리,불린미역 4컵,미역국 국 한식 메인요리 불린미역 4컵
미역완자국,국,한식,메인요리,불린미역 200g 찹쌀가루 1컵,미역완자국 국 한식 메인요리 불린미역 200g 찹쌀가루 1컵
사골우거지탕,국,한식,메인요리,사골 300g 쇠고기(사태) 200g 우거지 200g 대파 1뿌리,사골우거지탕 국 한식 메인요리 사골 300g 쇠고기(사태) 200g 우거지 200g 대파 1뿌리
사골탕,국,한식,메인요리,사골 500g 쇠고기(양지) 200g,사골탕 국 한식 메인요리 사골 500g 쇠고기(양지) 200g
삼계탕,국,한식,메인요리,닭고기(영계) 2마리,삼계탕 국 한식 메인요리 닭고기(영계) 2마리
생태국,국,한식,메인요리,생태 1마리,생태국 국 한식 메인요리 생태 1마리
설렁탕,국,한식,메인요리,소(잡뼈) 300g 사골 1개 도가니 1개 양지머리 600g,설렁탕 국 한식 메인요리 소(잡뼈) 300g 사골 1개 도가니 1개 양지머리 600g
쇠고기무국,국,한식,메인요리,쇠고기(양지) 200g 무 200g,쇠고기무국 국 한식 메인요리 쇠고기(양지) 200g 무 200g
어묵꼬치,국,한식,반찬,무 50g 어묵 100g,어묵꼬치 국 한식 반찬 무 50g 어묵 100g
육개장,국,한식,메인요리,쇠고기(사태) 300g 숙주 60g 고사리 50g,육개장 국 한식 메인요리 쇠고기(사태) 300g 숙주 60g 고사리 50g
초교탕,국,한식,메인요리,닭 1/2마리,초교탕 국 한식 메인요리 닭 1/2마리
토란곰탕,국,한식,메인요리,토란 300g 쇠고기(사태) 200g 무 200g,토란곰탕 국 한식 메인요리 토란 300g 쇠고기(사태) 200g 무 200g
홍합미역국,국,한식,메인요리,미역 150g 홍합 10개 참기름 1큰술,홍합미역국 국 한식 메인요리 미역 150g 홍합 10개 참기름 1큰술
홍합탕,국,한식,메인요리,홍합 400g 대파 1/2뿌리 홍고추 1개,홍합탕 국 한식 메인요리 홍합 400g 대파 1/2뿌리 홍고추 1개
가자미조림,조림,한식,메인요리,가자미 4마리,가자미조림 조림 한식 메인요리 가자미 4마리
명태포조림,조림,한식,메인요리,명태 1마리,명태포조림 조림 한식 메인요리 명태 1마리
붕어조림,조림,한식,메인요리,붕어 2마리 북어 1/2마리 감자 1개,붕어조림 조림 한식 메인요리 붕어 2마리 북어 1/2마리 감자 1개
사태장육,조림,한식,메인요리,쇠고기(사태) 600g 고추기름 1큰술,사태장육 조림 한식 메인요리 쇠고기(사태) 600g 고추기름 1큰술
생선조림,조림,한식,메인요리,조기 2마리 홍고추 1/2개,생선조림 조림 한식 메인요리 조기 2마리 홍고추 1/2개
쇠고기장조림,조림,한식,메인요리,쇠고기(사태) 400g 계란 4개,쇠고기장조림 조림 한식 메인요리 쇠고기(사태) 400g 계란 4개
어묵닭고기조림,조림,한식,메인요리,어묵 2개 닭고기(안심) 100g 표고버섯 1장,어묵닭고기조림 조림 한식 메인요리 어묵 2개 닭고기(안심) 100g 표고버섯 1장
연근조림,조림,한식,반찬,연근 300g,연근조림 조림 한식 반찬 연근 300g
장똑똑이,조림,한식,반찬,쇠고기(우둔살) 300g,장똑똑이 조림 한식 반찬 쇠고기(우둔살) 300g
콩자반,조림,한식,반찬,콩 2컵,콩자반 조림 한식 반찬 콩 2컵
호박선,조림,한식,반찬,애호박 1개 쇠고기(홍두깨) 50g 계란 1개 당근 1/4개 표고버섯 2개,호박선 조림 한식 반찬 애호박 1개 쇠고기(홍두깨) 50g 계란 1개 당근 1/4개 표고버섯 2개
홍합초,조림,한식,반찬,홍합 600g,홍합초 조림 한식 반찬 홍합 600g
갈비구이,구이,한식,메인요리,갈비 1.2kg,갈비구이 구이 한식 메인요리 갈비 1.2kg
고추장오징어순대구이,구이,한식,메인요리,오징어 1마리,고추장오징어순대구이 구이 한식 메인요리 오징어 1마리
꽁치깻잎말이구이,구이,한식,메인요리,꽁치 2마리 깻잎 8장,꽁치깻잎말이구이 구이 한식 메인요리 꽁치 2마리 깻잎 8장
너비아니구이,구이,한식,메인요리,쇠고기(안심) 1200g,너비아니구이 구이 한식 메인요리 쇠고기(안심) 1200g
더덕구이,구이,한식,메인요리,더덕 200g,더덕구이 구이 한식 메인요리 더덕 200g
등심구이,구이,한식,메인요리,쇠고기(등심) 600g,등심구이 구이 한식 메인요리 쇠고기(등심) 600g
떡갈비구이,구이,한식,메인요리,쇠고기(갈비) 300g,떡갈비구이 구이 한식 메인요리 쇠고기(갈비) 300g
떡산적,구이,한식,메인요리,가래떡 1가래 쇠고기(우둔살) 150g 실파 50g,떡산적 구이 한식 메인요리 가래떡 1가래 쇠고기(우둔살) 150g 실파 50g
불고기찹쌀구이,구이,한식,메인요리,쇠고기 200g 찹쌀가루 1/2컵 겨자 2큰술 식초 2큰술 설탕 2큰술,불고기찹쌀구이 구이 한식 메인요리 쇠고기 200g 찹쌀가루 1/2컵 겨자 2큰술 식초 2큰술 설탕 2큰술
새송이쌈장구이,구이,한식,메인요리,새송이버섯 4개,새송이쌈장구이 구이 한식 메인요리 새송이버섯 4개
서양식가자미구이와발사믹소스,구이,한식,메인요리,가자미(냉동) 400g,서양식가자미구이와발사믹소스 구이 한식 메인요리 가자미(냉동) 400g
송이산적,구이,한식,메인요리,송이버섯 5장 쇠고기 200g,송이산적 구이 한식 메인요리 송이버섯 5장 쇠고기 200g
쇠고기떡말이,구이,한식,메인요리,쇠고기(불고기) 200g 떡볶이떡 10개,쇠고기떡말이 구이 한식 메인요리 쇠고기(불고기) 200g 떡볶이떡 10개
쇠고기채소편채,구이,한식,메인요리,쇠고기(홍두깨살) 200g,쇠고기채소편채 구이 한식 메인요리 쇠고기(홍두깨살) 200g
오징어산적,구이,한식,메인요리,갑오징어 3마리 피망 4개,오징어산적 구이 한식 메인요리 갑오징어 3마리 피망 4개
완자꼬치,구이,한식,메인요리,새송이버섯 2개 두부 1/2모 쇠고기(다진것) 200g 간장 4큰술,완자꼬치 구이 한식 메인요리 새송이버섯 2개 두부 1/2모 쇠고기(다진것) 200g 간장 4큰술
제육불고기,구이,한식,메인요리,돼지고기 600g 고춧가루 1큰술,제육불고기 구이 한식 메인요리 돼지고기 600g 고춧가루 1큰술
조개관자꼬치구이,구이,한식,메인요리,조개관자 8개,조개관자꼬치구이 구이 한식 메인요리 조개관자 8개
조기양념장구이,구이,한식,메인요리,조기 2마리,조기양념장구이 구이 한식 메인요리 조기 2마리
